"ID"	"adm_1_name"	"adm_2_name"	"full_name"	"FAO_GAUL_code"	"adm2_std"	"adm1_std"	"ADM2_PCODE"
479	"AMAZONAS"	"EL ENCANTO"	"COLOMBIA, AMAZONAS, EL ENCANTO"	13333	"el encanto"	"amazonas"	"CO91263"
480	"ANTIOQUIA"	"BELLO"	"COLOMBIA, ANTIOQUIA, BELLO"	13357	"bello"	"antioquia"	"CO05088"
481	"BOYACA"	"SAN JOSE DE PARE"	"COLOMBIA, BOYACA, SAN JOSE DE PARE"	13616	"san jose de pare"	"boyaca"	"CO15664"
482	"VALLE"	"TORO"	"COLOMBIA, VALLE, TORO"	14399	"toro"	"valle"	"CO76823"
483	"CORDOBA"	"MONTELIBANO"	"COLOMBIA, CORDOBA, MONTELIBANO"	13819	"montelibano"	"cordoba"	"CO23466"
484	"CAUCA"	"POPAYAN"	"COLOMBIA, CAUCA, POPAYAN"	13745	"popayan"	"cauca"	"CO19001"
485	"BOYACA"	"SAN LUIS DE GACENO"	"COLOMBIA, BOYACA, SAN LUIS DE GACENO"	13617	"san luis de gaceno"	"boyaca"	"CO15667"
486	"ATLANTICO"	"MANATI"	"COLOMBIA, ATLANTICO, MANATI"	13482	"manati"	"atlantico"	"CO08436"
487	"CESAR"	"CHIMICHAGUA"	"COLOMBIA, CESAR, CHIMICHAGUA"	13764	"chimichagua"	"cesar"	"CO20175"
488	"CASANARE"	"SACAMA"	"COLOMBIA, CASANARE, SACAMA"	13712	"sacama"	"casanare"	"CO85315"
489	"CORDOBA"	"AYAPEL"	"COLOMBIA, CORDOBA, AYAPEL"	13808	"ayapel"	"cordoba"	"CO23068"
490	"CUNDINAMARCA"	"FUNZA"	"COLOMBIA, CUNDINAMARCA, FUNZA"	13864	"funza"	"cundinamarca"	"CO25286"
491	"CUNDINAMARCA"	"PULI"	"COLOMBIA, CUNDINAMARCA, PULI"	13904	"puli"	"cundinamarca"	"CO25580"
492	"GUAINIA"	"PUERTO COLOMBIA"	"COLOMBIA, GUAINIA, PUERTO COLOMBIA"	13956	"puerto colombia"	"guainia"	"CO94884"
493	"CUNDINAMARCA"	"GRANADA"	"COLOMBIA, CUNDINAMARCA, GRANADA"	13920	"granada"	"cundinamarca"	"CO25312"
494	"MAGDALENA"	"PUEBLOVIEJO"	"COLOMBIA, MAGDALENA, PUEBLOVIEJO"	14022	"puebloviejo"	"magdalena"	"CO47570"
495	"RISARALDA"	"GUATICA"	"COLOMBIA, RISARALDA, GUATICA"	14193	"guatica"	"risaralda"	"CO66318"
496	"VALLE"	"GINEBRA"	"COLOMBIA, VALLE, GINEBRA"	14384	"ginebra"	"valle"	"CO76306"
497	"CESAR"	"MANAURE BALCON DEL CESAR"	"COLOMBIA, CESAR, MANAURE BALCON DEL CESAR"	13774	"manaure balcon del cesar"	"cesar"	"CO20443"
498	"CHOCO"	"UNION PANAMERICANA"	"COLOMBIA, CHOCO, UNION PANAMERICANA"	13791	"union panamericana"	"choco"	"CO27810"
499	"SANTANDER"	"GUAPOTA"	"COLOMBIA, SANTANDER, GUAPOTA"	14244	"guapota"	"santander"	"CO68322"
500	"CUNDINAMARCA"	"SILVANIA"	"COLOMBIA, CUNDINAMARCA, SILVANIA"	13918	"silvania"	"cundinamarca"	"CO25743"
501	"MAGDALENA"	"PEDRAZA"	"COLOMBIA, MAGDALENA, PEDRAZA"	14019	"pedraza"	"magdalena"	"CO47541"
502	"CALDAS"	"AGUADAS"	"COLOMBIA, CALDAS, AGUADAS"	13660	"aguadas"	"caldas"	"CO17013"
503	"ATLANTICO"	"PIOJO"	"COLOMBIA, ATLANTICO, PIOJO"	13484	"piojo"	"atlantico"	"CO08549"
504	"BOYACA"	"PAEZ"	"COLOMBIA, BOYACA, PAEZ"	13598	"paez"	"boyaca"	"CO15514"
505	"SUCRE"	"LA UNION"	"COLOMBIA, SUCRE, LA UNION"	14300	"la union"	"sucre"	"CO70400"
506	"CAUCA"	"PADILLA"	"COLOMBIA, CAUCA, PADILLA"	13741	"padilla"	"cauca"	"CO19513"
507	"ANTIOQUIA"	"RIONEGRO"	"COLOMBIA, ANTIOQUIA, RIONEGRO"	13425	"rionegro"	"antioquia"	"CO05615"
508	"BOLIVAR"	"HATILLO DE LOBA"	"COLOMBIA, BOLIVAR, HATILLO DE LOBA"	13509	"hatillo de loba"	"bolivar"	"CO13300"
509	"CORDOBA"	"VALENCIA"	"COLOMBIA, CORDOBA, VALENCIA"	13835	"valencia"	"cordoba"	"CO23855"
510	"MAGDALENA"	"ALGARROBO"	"COLOMBIA, MAGDALENA, ALGARROBO"	14017	"algarrobo"	"magdalena"	"CO47030"
511	"GUAJIRA"	"LA JAGUA DEL PILAR"	"COLOMBIA, GUAJIRA, LA JAGUA DEL PILAR"	13967	"la jagua del pilar"	"guajira"	"CO44420"
512	"GUAJIRA"	"URIBIA"	"COLOMBIA, GUAJIRA, URIBIA"	13966	"uribia"	"guajira"	"CO44847"
515	"BOLIVAR"	"MONTECRISTO"	"COLOMBIA, BOLIVAR, MONTECRISTO"	13515	"montecristo"	"bolivar"	"CO13458"
516	"BOYACA"	"TUNJA"	"COLOMBIA, BOYACA, TUNJA"	13649	"tunja"	"boyaca"	"CO15001"
517	"SANTANDER"	"SANTA HELENA DEL OPON"	"COLOMBIA, SANTANDER, SANTA HELENA DEL OPON"	14281	"santa helena del opon"	"santander"	"CO68720"
518	"CAUCA"	"MORALES"	"COLOMBIA, CAUCA, MORALES"	13740	"morales"	"cauca"	"CO19473"
519	"MAGDALENA"	"FUNDACION"	"COLOMBIA, MAGDALENA, FUNDACION"	14017	"fundacion"	"magdalena"	"CO47288"
520	"MAGDALENA"	"GUAMAL"	"COLOMBIA, MAGDALENA, GUAMAL"	14018	"guamal"	"magdalena"	"CO47318"
