adm_1_name	adm_2_name	full_name	FAO_GAUL_code	dengue_ID	adm2_std	adm1_std	ocha_ID
BOLIVAR	CALAMAR	COLOMBIA, BOLIVAR, CALAMAR	13501	996	calamar	bolivar	CO13140
ANTIOQUIA	GIRALDO	COLOMBIA, ANTIOQUIA, GIRALDO	13389	997	giraldo	antioquia	CO05306
CAUCA	LA VEGA	COLOMBIA, CAUCA, LA VEGA	13736	998	la vega	cauca	CO19397
SANTANDER	SANTA BARBARA	COLOMBIA, SANTANDER, SANTA BARBARA	14280	999	santa barbara	santander	CO68705
SANTANDER	JORDAN	COLOMBIA, SANTANDER, JORDAN	14249	1000	jordan	santander	CO68370
CAUCA	SUCRE	COLOMBIA, CAUCA, SUCRE	13736	1001	sucre	cauca	CO19785
CAUCA	ROSAS	COLOMBIA, CAUCA, ROSAS	13748	1002	rosas	cauca	CO19622
BOYACA	VILLA DE LEYVA	COLOMBIA, BOYACA, VILLA DE LEYVA	13656	1003	villa de leyva	boyaca	CO15407
SANTANDER	GUADALUPE	COLOMBIA, SANTANDER, GUADALUPE	14243	1004	guadalupe	santander	CO68320
NARINO	SAN LORENZO	COLOMBIA, NARINO, SAN LORENZO	14112	1005	san lorenzo	narino	CO52687
ANTIOQUIA	SAN LUIS	COLOMBIA, ANTIOQUIA, SAN LUIS	13435	1007	san luis	antioquia	CO05660
BOYACA	BERBEO	COLOMBIA, BOYACA, BERBEO	13540	1008	berbeo	boyaca	CO15090
ANTIOQUIA	SAN FRANCISCO	COLOMBIA, ANTIOQUIA, SAN FRANCISCO	13431	1009	san francisco	antioquia	CO05652
NARINO	SANDONA	COLOMBIA, NARINO, SANDONA	14115	1010	sandona	narino	CO52683
BOYACA	CIENEGA	COLOMBIA, BOYACA, CIENEGA	13558	1011	cienega	boyaca	CO15189
NARINO	LA FLORIDA	COLOMBIA, NARINO, LA FLORIDA	14089	1012	la florida	narino	CO52381
CUNDINAMARCA	SUTATAUSA	COLOMBIA, CUNDINAMARCA, SUTATAUSA	13926	1013	sutatausa	cundinamarca	CO25781
BOYACA	EL COCUY	COLOMBIA, BOYACA, EL COCUY	13567	1014	el cocuy	boyaca	CO15244
SANTANDER	FLORIAN	COLOMBIA, SANTANDER, FLORIAN	14237	1015	florian	santander	CO68271
BOYACA	SUSACON	COLOMBIA, BOYACA, SUSACON	13636	1016	susacon	boyaca	CO15774
BOYACA	BELEN	COLOMBIA, BOYACA, BELEN	13539	1017	belen	boyaca	CO15087
NARINO	CONSACA	COLOMBIA, NARINO, CONSACA	14069	1018	consaca	narino	CO52207
BOYACA	BUENAVISTA	COLOMBIA, BOYACA, BUENAVISTA	13545	1019	buenavista	boyaca	CO15109
NARINO	CUMBITARA	COLOMBIA, NARINO, CUMBITARA	14074	1020	cumbitara	narino	CO52233
NARINO	GUACHUCAL	COLOMBIA, NARINO, GUACHUCAL	14082	1021	guachucal	narino	CO52317
BOYACA	SATIVANORTE	COLOMBIA, BOYACA, SATIVANORTE	13625	1022	sativanorte	boyaca	CO15720
BOYACA	TASCO	COLOMBIA, BOYACA, TASCO	13639	1023	tasco	boyaca	CO15790
CAUCA	TOTORO	COLOMBIA, CAUCA, TOTORO	13733	1024	totoro	cauca	CO19824
CUNDINAMARCA	COGUA	COLOMBIA, CUNDINAMARCA, COGUA	13856	1025	cogua	cundinamarca	CO25200
BOYACA	CHISCAS	COLOMBIA, BOYACA, CHISCAS	13553	1026	chiscas	boyaca	CO15180
NARINO	SAPUYES	COLOMBIA, NARINO, SAPUYES	14118	1027	sapuyes	narino	CO52720
BOYACA	SOCOTA	COLOMBIA, BOYACA, SOCOTA	13630	1028	socota	boyaca	CO15755
BOYACA	RAMIRIQUI	COLOMBIA, BOYACA, RAMIRIQUI	13609	1029	ramiriqui	boyaca	CO15599
SANTANDER	ALBANIA	COLOMBIA, SANTANDER, ALBANIA	14207	1030	albania	santander	CO68020
NARINO	PUPIALES	COLOMBIA, NARINO, PUPIALES	14107	1031	pupiales	narino	CO52585
SANTANDER	JESUS MARIA	COLOMBIA, SANTANDER, JESUS MARIA	14248	1032	jesus maria	santander	CO68368
MAGDALENA	CONCORDIA	COLOMBIA, MAGDALENA, CONCORDIA	14012	1034	concordia	magdalena	CO47205
BOYACA	SUTATENZA	COLOMBIA, BOYACA, SUTATENZA	13638	1035	sutatenza	boyaca	CO15778
CUNDINAMARCA	SUESCA	COLOMBIA, CUNDINAMARCA, SUESCA	13923	1036	suesca	cundinamarca	CO25772
BOYACA	PISBA	COLOMBIA, BOYACA, PISBA	13606	1037	pisba	boyaca	CO15550
GUAINIA	CACAHUAL	COLOMBIA, GUAINIA, CACAHUAL	13952	1038	cacahual	guainia	CO94886
CUNDINAMARCA	MACHETA	COLOMBIA, CUNDINAMARCA, MACHETA	13888	1039	macheta	cundinamarca	CO25426
PUTUMAYO	SANTIAGO	COLOMBIA, PUTUMAYO, SANTIAGO	14173	1040	santiago	putumayo	CO86760
AMAZONAS	TARAPACA	COLOMBIA, AMAZONAS, TARAPACA	13340	1041	tarapaca	amazonas	CO91798
BOYACA	COPER	COLOMBIA, BOYACA, COPER	13560	1042	coper	boyaca	CO15212
ANTIOQUIA	ENTRERRIOS	COLOMBIA, ANTIOQUIA, ENTRERRIOS	13385	1043	entrerrios	antioquia	CO05264
NARINO	BELEN	COLOMBIA, NARINO, BELEN	14065	1044	belen	narino	CO52083
BOYACA	RONDON	COLOMBIA, BOYACA, RONDON	13611	1045	rondon	boyaca	CO15621
BOYACA	JENESANO	COLOMBIA, BOYACA, JENESANO	13579	1046	jenesano	boyaca	CO15367
CUNDINAMARCA	VILLAGOMEZ	COLOMBIA, CUNDINAMARCA, VILLAGOMEZ	13944	1047	villagomez	cundinamarca	CO25871
