xmin	xmax	ocha_ID	epidemic_id	thres	duration	imax
2015-12-20	2016-02-21	CO05250	CO05250.2	0.00103341948806238	63	0.00310025846418713
2016-12-25	2017-03-12	CO05250	CO05250.3	0.00103341948806238	77	0.00465038769628069
2017-05-14	2017-07-16	CO05250	CO05250.4	0.00103341948806238	63	0.00258354872015594
2018-10-14	2019-08-18	CO05250	CO05250.5	0.00103341948806238	308	0.0129177436007797
2010-01-17	2010-10-31	CO05266	CO05266.2	0.000283937027805411	287	0.0167522846405193
2015-11-29	2017-01-08	CO05266	CO05266.6	0.000283937027805411	406	0.00269740176415141
2008-01-06	2008-09-14	CO05308	CO05308.1	0.000953633663907957	252	0.00333771782367785
2010-04-04	2010-10-24	CO05308	CO05308.2	0.000953633663907957	203	0.00762906931126366
2013-10-13	2013-11-10	CO05308	CO05308.3	0.000953633663907957	28	0.00190726732781591
2014-06-15	2014-10-05	CO05308	CO05308.4	0.000953633663907957	112	0.00572180198344774
2016-08-14	2016-10-30	CO05308	CO05308.5	0.000953633663907957	77	0.00429135148758581
2009-12-27	2010-12-12	CO05360	CO05360.1	0.000356768072919341	350	0.0210493163022411
2012-12-23	2014-03-02	CO05360	CO05360.2	0.000356768072919341	434	0.00205141641928621
2014-06-01	2015-02-15	CO05360	CO05360.3	0.000356768072919341	259	0.00142707229167736
2015-08-16	2017-01-29	CO05360	CO05360.5	0.000356768072919341	532	0.0111490022787294
2010-02-28	2010-10-17	CO05380	CO05380.1	0.000353217599510876	231	0.0116561807838589
2015-12-06	2016-12-04	CO05380	CO05380.2	0.000353217599510876	364	0.00494504639315226
2009-05-31	2009-07-05	CO05490	CO05490.1	0.000856347686983566	35	0.00299721690444248
2013-02-17	2013-03-31	CO05490	CO05490.2	0.000856347686983566	42	0.00171269537396713
2013-05-12	2013-09-22	CO05490	CO05490.3	0.000856347686983566	133	0.00214086921745891
2014-01-19	2014-03-30	CO05490	CO05490.4	0.000856347686983566	70	0.00428173843491783
2014-07-13	2015-01-11	CO05490	CO05490.5	0.000856347686983566	182	0.00642260765237674
2015-08-30	2016-02-21	CO05490	CO05490.6	0.000856347686983566	175	0.00385356459142605
2016-10-02	2016-10-30	CO05490	CO05490.7	0.000856347686983566	28	0.00128452153047535
2017-05-21	2017-12-31	CO05490	CO05490.8	0.000856347686983566	224	0.00770712918285209
2018-05-27	2019-10-13	CO05490	CO05490.10	0.000856347686983566	504	0.00685078149586853
2019-11-17	2019-12-22	CO05490	CO05490.11	0.000856347686983566	35	0.00299721690444248
2007-12-30	2008-12-21	CO05579	CO05579.1	0.00109860003927069	357	0.00384510013744741
2009-05-31	2009-07-26	CO05579	CO05579.2	0.00109860003927069	56	0.00439440015708276
2009-09-27	2009-11-08	CO05579	CO05579.3	0.00109860003927069	42	0.00274650009817672
2010-04-25	2010-08-22	CO05579	CO05579.4	0.00109860003927069	119	0.00439440015708276
2011-02-27	2011-05-08	CO05579	CO05579.5	0.00109860003927069	70	0.00274650009817672
2011-07-03	2011-08-14	CO05579	CO05579.6	0.00109860003927069	42	0.00274650009817672
2013-01-13	2013-12-22	CO05579	CO05579.7	0.00109860003927069	343	0.00439440015708276
2014-11-02	2014-12-14	CO05579	CO05579.8	0.00109860003927069	42	0.00329580011781207
2018-12-23	2019-08-11	CO05579	CO05579.10	0.00109860003927069	231	0.00549300019635344
2010-02-21	2010-10-17	CO05631	CO05631.1	0.000503012493838205	238	0.0226355622227192
2015-12-27	2016-09-25	CO05631	CO05631.2	0.000503012493838205	273	0.00301807496302923
2012-03-04	2012-05-06	CO05665	CO05665.1	0.000825525475957902	63	0.00577867833170531
2012-12-23	2013-11-17	CO05665	CO05665.2	0.000825525475957902	329	0.00247657642787371
2013-12-22	2014-03-09	CO05665	CO05665.3	0.000825525475957902	77	0.00495315285574741
2017-11-12	2018-02-04	CO05665	CO05665.5	0.000825525475957902	84	0.00412762737978951
2018-04-01	2018-06-24	CO05665	CO05665.6	0.000825525475957902	84	0.00247657642787371
2018-08-05	2019-03-17	CO05665	CO05665.7	0.000825525475957902	224	0.0132084076153264
2019-04-21	2019-08-11	CO05665	CO05665.8	0.000825525475957902	112	0.00412762737978951
2010-01-10	2010-10-10	CO05736	CO05736.2	0.000709894853773236	273	0.00638905368395912
2012-07-08	2012-10-28	CO05736	CO05736.3	0.000709894853773236	112	0.00638905368395912
2015-12-13	2016-06-12	CO05736	CO05736.6	0.000709894853773236	182	0.00425936912263941
2019-05-19	2019-12-15	CO05736	CO05736.7	0.000709894853773236	210	0.00780884339150559
2019-05-19	2019-07-14	CO05756	CO05756.1	0.000680670443484424	56	0.00204201133045327
2010-04-04	2010-05-23	CO05790	CO05790.1	0.000593115845542361	49	0.0029655792277118
2012-02-19	2012-12-16	CO05790	CO05790.2	0.000593115845542361	301	0.0029655792277118
2018-06-10	2019-02-10	CO05790	CO05790.3	0.000593115845542361	245	0.00593115845542361
2007-12-30	2008-03-16	CO05837	CO05837.1	0.000486306371854914	77	0.00162102123951638
2008-05-18	2008-08-24	CO05837	CO05837.2	0.000486306371854914	98	0.00145891911556474
2013-12-15	2014-03-30	CO05837	CO05837.5	0.000486306371854914	105	0.00275573610717785
2014-05-11	2015-03-01	CO05837	CO05837.6	0.000486306371854914	294	0.00194522548741966
2015-10-18	2016-02-14	CO05837	CO05837.7	0.000486306371854914	119	0.00145891911556474
2018-04-15	2019-12-22	CO05837	CO05837.8	0.000486306371854914	616	0.00226942973532293
2009-07-05	2009-08-30	CO05895	CO05895.2	0.000744073366864968	56	0.0022322201005949
2013-07-07	2013-08-18	CO05895	CO05895.4	0.000744073366864968	42	0.0022322201005949
2013-10-20	2013-12-15	CO05895	CO05895.5	0.000744073366864968	56	0.00297629346745987
2015-01-18	2015-02-22	CO05895	CO05895.6	0.000744073366864968	35	0.00148814673372994
2015-05-24	2015-07-05	CO05895	CO05895.7	0.000744073366864968	42	0.00297629346745987
2019-03-10	2019-09-01	CO05895	CO05895.8	0.000744073366864968	175	0.00595258693491974
2007-06-03	2009-03-08	CO08001	CO08001.1	0.000541814978207416	644	0.00336376798970437
2009-10-18	2010-04-04	CO08001	CO08001.2	0.000541814978207416	168	0.00151256681416237
2010-05-09	2011-02-06	CO08001	CO08001.3	0.000541814978207416	273	0.00313801174878462
2012-11-18	2014-03-09	CO08001	CO08001.5	0.000541814978207416	476	0.00462800293885501
2014-08-24	2015-01-25	CO08001	CO08001.6	0.000541814978207416	154	0.00257362114648523
2015-10-04	2016-02-07	CO08001	CO08001.7	0.000541814978207416	126	0.00243816740193337
2017-10-15	2018-02-04	CO08001	CO08001.8	0.000541814978207416	112	0.00144483994188644
2018-06-10	2019-02-03	CO08001	CO08001.9	0.000541814978207416	238	0.00205438179236979
2019-09-22	2019-12-22	CO08001	CO08001.10	0.000541814978207416	91	0.00370240235108401
2007-12-23	2009-01-18	CO08078	CO08078.2	0.000871615010783367	392	0.00479388255930852
2009-10-25	2010-01-03	CO08078	CO08078.3	0.000871615010783367	70	0.00305065253774179
2012-10-21	2014-01-19	CO08078	CO08078.4	0.000871615010783367	455	0.00479388255930852
2014-08-24	2014-12-28	CO08078	CO08078.5	0.000871615010783367	126	0.00915195761322536
2015-10-04	2016-01-03	CO08078	CO08078.6	0.000871615010783367	91	0.00348646004313347
2018-08-05	2019-03-17	CO08078	CO08078.7	0.000871615010783367	224	0.0078445350970503
2019-07-07	2019-12-22	CO08078	CO08078.8	0.000871615010783367	168	0.0104593801294004
2007-08-19	2007-12-02	CO08296	CO08296.1	0.00110651565593986	105	0.00387280479578952
2008-10-12	2008-11-16	CO08296	CO08296.2	0.00110651565593986	35	0.00276628913984965
2010-05-02	2010-06-13	CO08296	CO08296.3	0.00110651565593986	42	0.00331954696781958
2013-02-03	2013-07-28	CO08296	CO08296.5	0.00110651565593986	175	0.00276628913984965
2013-09-01	2014-02-09	CO08296	CO08296.6	0.00110651565593986	161	0.00331954696781958
2014-04-27	2014-07-27	CO08296	CO08296.7	0.00110651565593986	91	0.00553257827969931
2014-08-10	2015-04-05	CO08296	CO08296.8	0.00110651565593986	238	0.00995864090345876
2015-06-21	2016-01-24	CO08296	CO08296.9	0.00110651565593986	217	0.0188107661509777
2017-09-24	2017-10-22	CO08296	CO08296.10	0.00110651565593986	28	0.00276628913984965
2018-08-19	2019-02-03	CO08296	CO08296.11	0.00110651565593986	168	0.00885212524751889
2007-12-23	2008-08-17	CO08433	CO08433.2	0.000608920821068413	238	0.00202973607022804
2008-10-05	2009-04-12	CO08433	CO08433.3	0.000608920821068413	189	0.00182676246320524
2009-07-05	2009-09-06	CO08433	CO08433.4	0.000608920821068413	63	0.00182676246320524
2009-12-27	2010-10-31	CO08433	CO08433.5	0.000608920821068413	308	0.00202973607022804
2011-12-18	2012-05-06	CO08433	CO08433.7	0.000608920821068413	140	0.00182676246320524
2012-11-04	2015-05-10	CO08433	CO08433.8	0.000608920821068413	917	0.00385649853343328
2015-06-21	2016-02-07	CO08433	CO08433.9	0.000608920821068413	231	0.00385649853343328
2018-05-20	2018-08-19	CO08433	CO08433.10	0.000608920821068413	91	0.00182676246320524
2018-10-07	2019-03-03	CO08433	CO08433.11	0.000608920821068413	147	0.00182676246320524
2019-10-13	2019-12-22	CO08433	CO08433.12	0.000608920821068413	70	0.00223270967725085
2009-07-19	2009-10-04	CO08573	CO08573.2	0.000598502858505912	77	0.00179550857551773
2009-11-01	2010-02-14	CO08573	CO08573.3	0.000598502858505912	105	0.00209476000477069
2011-10-02	2012-01-15	CO08573	CO08573.4	0.000598502858505912	105	0.00149625714626478
2014-11-02	2015-01-25	CO08573	CO08573.5	0.000598502858505912	84	0.00508727429730025
2015-10-18	2016-01-24	CO08573	CO08573.6	0.000598502858505912	98	0.00299251429252956
2018-11-04	2018-12-02	CO08573	CO08573.7	0.000598502858505912	28	0.00149625714626478
2019-11-17	2019-12-22	CO08573	CO08573.8	0.000598502858505912	35	0.00149625714626478
2007-12-23	2008-12-07	CO08638	CO08638.1	0.0007754389717344	350	0.0028432762296928
2012-12-23	2014-01-19	CO08638	CO08638.2	0.0007754389717344	392	0.0033602355441824
2014-09-14	2015-01-11	CO08638	CO08638.3	0.0007754389717344	119	0.007754389717344
2015-08-09	2016-01-03	CO08638	CO08638.4	0.0007754389717344	147	0.00646199143112
2018-10-07	2019-02-17	CO08638	CO08638.5	0.0007754389717344	133	0.0033602355441824
2019-04-07	2019-12-22	CO08638	CO08638.6	0.0007754389717344	259	0.003877194858672
2007-09-09	2009-03-22	CO08758	CO08758.3	0.00030400293790628	560	0.00212802056534396
2010-07-11	2011-02-20	CO08758	CO08758.4	0.00030400293790628	224	0.0010260099154337
2012-11-11	2014-04-13	CO08758	CO08758.6	0.00030400293790628	518	0.00281202717563309
2014-08-03	2015-02-15	CO08758	CO08758.7	0.00030400293790628	196	0.00140601358781655
2015-09-27	2016-02-14	CO08758	CO08758.9	0.00030400293790628	140	0.00144401395505483
2017-09-03	2018-03-04	CO08758	CO08758.10	0.00030400293790628	182	0.00159601542400797
2018-07-15	2019-02-17	CO08758	CO08758.11	0.00030400293790628	217	0.00106401028267198
2019-09-29	2019-12-22	CO08758	CO08758.12	0.00030400293790628	84	0.00159601542400797
2010-10-31	2011-01-02	CO13052	CO13052.1	0.000711122683561361	63	0.00284449073424545
2012-12-23	2013-07-21	CO13052	CO13052.3	0.000711122683561361	210	0.00284449073424545
2013-08-18	2013-12-08	CO13052	CO13052.4	0.000711122683561361	112	0.00248892939246476
2014-09-07	2015-04-05	CO13052	CO13052.5	0.000711122683561361	210	0.00497785878492953
2015-05-10	2015-11-29	CO13052	CO13052.6	0.000711122683561361	203	0.00640010415205225
2016-06-12	2016-07-31	CO13052	CO13052.7	0.000711122683561361	49	0.0017778067089034
2019-05-05	2019-06-30	CO13052	CO13052.9	0.000711122683561361	56	0.00248892939246476
2019-08-04	2019-12-22	CO13052	CO13052.10	0.000711122683561361	140	0.00462229744314885
2007-05-20	2007-08-05	CO13244	CO13244.1	0.000677108690390786	77	0.00169277172597697
2008-01-13	2008-03-09	CO13244	CO13244.2	0.000677108690390786	56	0.00236988041636775
2008-10-05	2009-01-04	CO13244	CO13244.3	0.000677108690390786	91	0.00203132607117236
2009-07-05	2009-08-09	CO13244	CO13244.4	0.000677108690390786	35	0.00169277172597697
2010-07-04	2010-11-14	CO13244	CO13244.5	0.000677108690390786	133	0.00338554345195393
2011-03-20	2011-07-17	CO13244	CO13244.6	0.000677108690390786	119	0.00135421738078157
2012-04-29	2012-07-29	CO13244	CO13244.7	0.000677108690390786	91	0.00541686952312629
2012-10-14	2012-12-09	CO13244	CO13244.8	0.000677108690390786	56	0.00169277172597697
2013-03-17	2013-08-04	CO13244	CO13244.9	0.000677108690390786	140	0.00236988041636775
