simRound	simID	alphaRest	alphaAmp	alphaShift	infTicksCounts	avgVisitsCounts	pVisits	propSocialVisits	locPerSGCount	establishment
0.0	60.0	0.018903	0.9739	0.6111	4.4858	3.146	0.89303	0.6273	8.5069	0.11
0.0	61.0	0.001215	0.7991	0.8047	5.7302	2.7628	0.10319	0.3123	10.2701	0.0
0.0	62.0	0.005277	0.3137	0.7787	5.6462	4.6228	0.41027	0.3351	18.2843	0.99
0.0	63.0	0.003363	0.5849	0.7933	4.9698	2.3564	0.61655	0.9515	12.1245	0.1
0.0	64.0	0.010989	0.9861	0.6837	4.0886	2.9204	0.11489	0.4997	13.7699	0.68
0.0	65.0	0.019395	0.4487	0.8459	4.9254	1.6364	0.34925	0.8645	10.8211	0.97
0.0	66.0	0.003489	0.7439	0.2429	4.249	2.1276	0.54005	0.5341	15.3013	0.2
0.0	67.0	0.001575	0.3385	0.5809	4.2974	3.6324	0.38381	0.1783	3.2477	0.0
0.0	68.0	0.004695	0.5779	0.9161	5.2582	2.5196	0.86711	0.2995	2.5827	0.92
0.0	69.0	0.019245	0.8501	0.8365	4.687	3.4924	0.69737	0.3621	7.2985	1.0
0.0	70.0	0.020619	0.5283	0.9655	4.9342	2.2236	0.51017	0.1447	11.3531	1.0
0.0	71.0	0.024915	0.2923	0.8559	5.8258	1.0596	0.81725	0.1917	9.5975	0.96
0.0	72.0	0.016911	0.0705	0.9507	5.087	4.6268	0.13127	0.6481	16.7795	1.0
0.0	73.0	0.000831	0.1403	0.9761	4.1634	3.222	0.49361	0.0219	8.8223	0.0
0.0	74.0	0.018585	0.7707	0.4937	4.0222	4.5644	0.52277	0.3563	19.3255	0.94
0.0	75.0	0.016407	0.6697	0.9543	4.7514	3.3532	0.32027	0.4759	18.5237	1.0
0.0	76.0	0.012639	0.4285	0.8717	4.6894	2.9548	0.42521	0.6307	1.7315	1.0
0.0	77.0	0.016539	0.2669	0.7911	4.8034	4.0932	0.24917	0.7415	19.6903	1.0
0.0	78.0	0.009309	0.3773	0.4835	4.5046	3.2092	0.16151	0.5065	12.9719	0.86
0.0	79.0	0.003009	0.4785	0.0917	5.4674	2.0468	0.69287	0.9777	9.1111	0.22
0.0	80.0	0.013617	0.3421	0.8359	5.9694	1.9716	0.57821	0.9235	12.2689	0.99
0.0	81.0	0.015429	0.6649	0.3127	4.1066	1.998	0.19553	0.3081	15.6851	0.87
0.0	82.0	0.007593	0.3197	0.0103	5.1134	4.4036	0.18887	0.6647	11.1821	0.99
0.0	83.0	0.010557	0.1083	0.3357	5.6554	1.2972	0.38525	0.1637	13.6141	0.77
0.0	84.0	0.017145	0.2011	0.8053	5.0686	1.2076	0.39803	0.6079	17.9347	0.89
0.0	85.0	7.5e-05	0.2247	0.9979	5.0566	3.5364	0.15557	0.9823	12.8541	0.0
0.0	86.0	0.010269	0.3371	0.8635	5.745	4.3124	0.67757	0.1581	6.7931	1.0
0.0	87.0	0.017937	0.9137	0.0653	5.2702	1.5036	0.85919	0.5115	4.1635	1.0
0.0	88.0	0.010947	0.2611	0.9777	5.387	1.022	0.38345	0.8217	19.9867	0.76
0.0	89.0	0.004353	0.6701	0.7069	5.9038	4.2716	0.28013	0.7293	6.6069	0.93
0.0	90.0	0.021123	0.1435	0.5009	4.1922	4.0828	0.41279	0.0493	2.8259	1.0
0.0	91.0	0.021153	0.9107	0.8687	4.8662	3.2028	0.85739	0.4875	9.7533	1.0
0.0	92.0	0.012663	0.5547	0.1863	4.7942	4.754	0.60683	0.4085	10.2967	1.0
0.0	93.0	0.020091	0.5063	0.4807	4.8326	1.3972	0.20057	0.6393	17.5243	0.61
0.0	94.0	0.014799	0.2961	0.6617	4.4678	2.7404	0.17807	0.8183	19.0063	0.97
0.0	95.0	0.010797	0.5891	0.2253	5.0306	2.4188	0.08015	0.5657	3.8481	0.95
0.0	96.0	0.026331	0.9725	0.2639	4.761	1.9996	0.70817	0.6735	6.3941	1.0
0.0	97.0	0.029733	0.6365	0.3471	5.211	2.6236	0.64733	0.3609	5.5733	1.0
0.0	98.0	0.028671	0.0227	0.3105	5.581	1.7356	0.37247	0.0505	9.3695	1.0
0.0	99.0	0.013911	0.2401	0.2877	4.7738	2.946	0.90887	0.6579	15.8751	0.99
0.0	100.0	0.005841	0.2115	0.5137	4.8694	4.0748	0.21263	0.2721	6.6183	0.92
0.0	101.0	0.027147	0.6163	0.8217	4.1578	1.726	0.48047	0.7199	1.8151	1.0
0.0	102.0	0.014565	0.2099	0.6965	4.1038	1.442	0.81455	0.9143	12.4513	0.73
0.0	103.0	0.027357	0.4625	0.2917	4.105	3.7612	0.33125	0.9961	10.2815	1.0
0.0	104.0	0.027411	0.4223	0.4931	4.8366	3.1604	0.29345	0.7195	3.3351	0.99
0.0	105.0	0.008745	0.6577	0.5741	4.8986	1.314	0.10409	0.1847	5.3909	0.0
0.0	106.0	0.000531	0.6367	0.9447	4.9582	4.09	0.53537	0.9383	10.1295	0.0
0.0	107.0	0.015285	0.7581	0.6383	4.8926	1.71	0.77675	0.4117	13.6711	0.39
0.0	108.0	0.012333	0.5315	0.6815	5.5202	3.9308	0.72023	0.2371	16.7339	1.0
0.0	109.0	0.013197	0.0403	0.0673	5.409	1.2276	0.25637	0.1557	6.8995	0.87
0.0	110.0	0.004329	0.3347	0.3633	4.0706	4.9156	0.17015	0.6339	16.5591	0.91
0.0	111.0	0.019713	0.4347	0.5949	4.2266	1.6444	0.53915	0.0903	11.9459	0.84
0.0	112.0	0.013941	0.4439	0.1823	5.7342	3.6732	0.87665	0.6739	19.7511	1.0
0.0	113.0	0.006345	0.7937	0.6607	4.5862	4.914	0.84173	0.2471	10.6425	0.94
0.0	114.0	0.024207	0.5365	0.9667	4.5906	4.5204	0.72383	0.9113	11.2163	1.0
0.0	115.0	0.016257	0.4725	0.2301	4.049	1.21	0.47867	0.3035	2.2521	0.78
