alphaAmp	alphaShift	infTicksCount	avgVisitsCount	pVisits	propSocialVisits	locPerSGCount	correctionFactor
0.15758	0.5768200000000001	4.6714	4.389200000000001	0.465818	0.99326	4.549580000000001	0.035294000000000006
0.050660000000000004	0.9039400000000001	4.04916	1.77752	0.77567	0.9126200000000001	14.34902	0.037514000000000006
0.08278	0.6359	4.66916	4.69256	0.941162	0.99038	14.50938	0.020666000000000004
0.007580000000000001	0.5282600000000001	4.2366	1.6557600000000001	0.699134	0.80542	8.40962	0.02891400000000001
0.062060000000000004	0.9529000000000001	5.69348	1.7316	0.48975799999999997	0.9872200000000001	4.09434	0.06986600000000001
0.07346	0.0055000000000000005	4.79596	3.4664800000000002	0.265478	0.9809800000000001	3.10786	0.044394
0.06466	0.7977400000000001	5.57116	1.72472	0.130946	0.9209800000000001	19.00174	0.028098
0.05074000000000001	0.39786	5.7950800000000005	2.05256	0.32754199999999994	0.96686	14.846820000000001	0.026010000000000002
0.00538	0.46014	5.70764	1.198	0.06013400000000001	0.9338600000000001	15.909300000000002	0.045682
0.040060000000000005	0.8754200000000001	5.69444	1.44664	0.789278	0.9485800000000001	13.994100000000001	0.055366000000000005
0.041620000000000004	0.5253800000000001	5.10444	1.15848	0.29741	0.85402	15.38794	0.042030000000000005
0.028620000000000003	0.94862	5.60052	3.59464	0.22829	0.95498	3.83594	0.024746000000000004
0.12382000000000001	0.30858	5.19756	2.07784	0.45347	0.96486	19.980620000000002	0.033606000000000004
0.048380000000000006	0.38506000000000007	4.39396	1.5223200000000001	0.471614	0.0211	13.39142	0.025458000000000005
0.04938000000000001	0.14686	5.8298000000000005	3.43656	0.164354	0.9922200000000001	17.69226	0.027462
0.08046	0.57574	4.86364	1.8148	0.6586700000000001	0.21798	13.039540000000002	0.023878000000000003
0.01414	0.8712200000000001	5.97564	1.2954400000000001	0.32923399999999997	0.9180200000000001	11.60618	0.05302200000000001
0.06174	0.49262000000000006	5.07772	1.8228	0.673394	0.9359000000000001	15.73298	0.03720600000000001
0.03014	0.7818200000000001	4.3098	3.3080800000000004	0.577958	0.9091	18.15738	0.018858000000000003
0.0839	0.4523400000000001	5.73076	4.51912	0.171086	0.96638	13.608020000000002	0.022538000000000002
0.01174	0.0357	4.16708	2.41704	0.26735	0.20974000000000004	12.14198	0.020878000000000004
0.03526	0.33106	4.8798	1.33816	0.20615	0.19874000000000003	15.571860000000001	0.029238000000000004
0.027180000000000003	0.39798	5.02892	1.4797600000000002	0.664682	0.74678	8.35718	0.029710000000000004
0.054580000000000004	0.5843	5.1874	1.5004	0.820418	0.6475000000000001	6.352300000000001	0.024130000000000002
0.0048200000000000005	0.61194	4.31196	2.75272	0.372038	0.6261800000000001	14.48506	0.019090000000000003
0.01818	0.33982	5.43756	1.67048	0.670766	0.59106	12.199740000000002	0.02669400000000001
0.01606	0.08582000000000001	5.50428	2.58744	0.41826199999999997	0.9013000000000001	14.8947	0.021006000000000004
0.07202	0.5927	5.43444	1.31912	0.497786	0.7261000000000001	3.4810200000000004	0.033158
0.00674	0.41358000000000006	5.91492	1.53496	0.84389	0.20690000000000003	10.832500000000001	0.02177
0.01386	0.1051	5.2782	2.02136	0.378878	0.37554	10.27922	0.021538
0.0721	0.52958	5.36132	2.10744	0.386438	0.7819800000000001	3.55398	0.024894000000000003
0.0013800000000000002	0.7424200000000001	5.24828	1.8949600000000002	0.45890600000000004	0.32922000000000007	4.67194	0.020170000000000004
0.020900000000000002	0.17122	4.41668	2.37864	0.7033820000000001	0.66954	9.405980000000001	0.022366000000000004
0.01378	0.66846	5.50572	1.3836	0.6323540000000001	0.1597	19.772380000000002	0.032182
0.06698000000000001	0.53554	5.79148	1.86968	0.36638600000000004	0.8233000000000001	1.37582	0.041622000000000006
0.09942000000000001	0.34346	5.0042	3.56616	0.5623340000000001	0.9729400000000001	13.7699	0.022406000000000006
0.03674	0.54346	5.59348	2.22024	0.41966599999999993	0.7495800000000001	1.22078	0.029342000000000003
0.025060000000000002	0.6678600000000001	4.5594	1.3172000000000001	0.636782	0.14062000000000002	7.743860000000001	0.033206000000000006
0.03162	0.6713	4.42116	1.8722400000000001	0.6426860000000001	0.8611000000000001	16.6997	0.03324200000000001
0.03322	0.4736600000000001	5.97452	1.23224	0.28336999999999996	0.11426	16.5439	0.031994
0.037500000000000006	0.54522	5.63772	1.7896800000000002	0.705542	0.8539400000000001	16.479300000000002	0.022106000000000004
0.007260000000000001	0.5448200000000001	5.9226	1.11688	0.52871	0.3995000000000001	10.09302	0.052098000000000005
0.00786	0.17518	4.792120000000001	1.56152	0.137606	0.8420200000000001	14.53066	0.032638
0.036660000000000005	0.00218	5.32236	1.38104	0.789386	0.54234	11.136500000000002	0.031406
0.03662	0.45122000000000007	5.41532	2.1116	0.28408999999999995	0.57718	7.984780000000001	0.018926000000000002
0.0005400000000000001	0.5901400000000001	4.03276	2.8884000000000003	0.5973260000000001	0.5042200000000001	1.57266	0.026678000000000004
0.14174000000000003	0.19378	5.8862000000000005	3.3191200000000003	0.547106	0.9941000000000001	12.616980000000002	0.029610000000000004
0.05242000000000001	0.46394	4.16932	1.294	0.358862	0.1869	18.17942	0.037026
0.02246	0.7131400000000001	5.5171600000000005	1.45432	0.28246999999999994	0.8399400000000001	19.36122	0.035918000000000005
0.00946	0.54986	4.23476	2.07768	0.294674	0.48722000000000004	7.48774	0.030602000000000008
0.018860000000000002	0.54806	5.55532	1.9637600000000002	0.5665460000000001	0.36630000000000007	19.93806	0.019342000000000005
0.017660000000000002	0.05942	5.32756	2.59816	0.46841	0.46086000000000005	11.25126	0.019458000000000003
0.045020000000000004	0.4023	4.9638	1.34008	0.10059799999999999	0.17662	11.385780000000002	0.036082
0.11606	0.9269800000000001	4.53636	4.3775200000000005	0.262454	0.9591000000000001	6.93142	0.018562000000000002
0.042820000000000004	0.4267000000000001	4.40596	2.57992	0.24153799999999997	0.77858	18.00918	0.022174000000000003
0.07186000000000001	0.52802	5.36084	2.2236000000000002	0.282938	0.24594000000000002	15.375020000000001	0.023570000000000004
0.027340000000000003	0.62734	4.535880000000001	4.03784	0.789242	0.9675800000000001	19.97454	0.025862000000000003
0.18562	0.9409800000000001	5.11636	4.72168	0.74777	0.9699000000000001	12.734020000000001	0.021894000000000004
0.033260000000000005	0.64378	4.12508	3.76968	0.25662199999999996	0.66798	2.97562	0.02363
0.0009400000000000001	0.6911800000000001	4.40892	1.83608	0.309542	0.6941	8.5715	0.035834
0.10146000000000001	0.14854	4.69796	3.50808	0.6507499999999999	0.9289800000000001	14.435660000000002	0.020102000000000005
0.01302	0.36046	5.35444	1.83	0.19257799999999997	0.21154	5.1340200000000005	0.027186000000000002
6.000000000000001e-05	0.93198	4.5806000000000004	1.20568	0.137318	0.30306	17.773580000000003	0.04711800000000001
0.06702	0.03726	4.3446	1.46184	0.11168600000000001	0.0261	16.94594	0.028402000000000007
